id,caseNumber,originalCaseNumber,agencyId,reportDate,offenseCode1,offenseCode2,offenseCode3,offenseCode4,offenseCode5,offenseCode6,offenseDescription1,offenseDescription2,offenseDescription3,offenseDescription4,offenseDescription5,offenseDescription6,incidentNumber,place,city,occurrence1Date,occurrence1Time,disposition,beat,approvalDate,approved,xCoord,yCoord,blockNumber,street,coordCheck,uploadDate,crimeType,crimeClassification,titleBackgroundColor,iconUrl
4243216,26-00425,12600425,914,2026-02-01T00:00:00,11364(A) HS,11350(A) HS,,,,,Possess unlawful paraphernalia (M),Possess narcotic controlled substance (M),,,,,202602010030,CHEVRON,Davis,2026-02-01T00:00:00,521,A,3,2026-02-02T00:00:00,True,-121.694328308105,38.5510902404785,300.0,MACE BL,Y,2026-02-15T04:35:01.207,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4240385,26-00428,12600428,914,2026-02-02T00:00:00,243(E)(1) PC,13700 PC,,,,,Battery:spouse/ex spouse/date/etc - Simple (M),DOMESTIC VIOLENCE; DEFINITION,,,,,202602020009,J ST APARTMENTS,Davis,2026-02-02T00:00:00,350,A,2,2026-02-02T00:00:00,True,-121.74018096923828,38.55594253540039,1100.0,J ST,Y,2026-02-09T16:00:01.76,Assault,Misdemeanor,#752100,red\PinNeedle.svg
4266152,26-00432,12600432,914,2026-02-02T00:00:00,647(H) PC,602(O) PC,,,,,Disorderly conduct:loiter/etc private property (M),Trespass:refuse to leave property (M),,,,,202602020021,,Davis,2026-02-02T00:00:00,713,,2,2026-02-05T00:00:00,True,-121.73291778564453,38.553123474121094,1500.0,E 8TH ST,Y,2026-02-20T18:40:01.337,Curfew/Loitering/Vagrancy,Misdemeanor,#752100,red\PinNeedle.svg
4253688,26-00442,12600442,914,2026-02-02T00:00:00,10851(A) VC,,,,,,Take vehicle w/o owners consent/vehicle theft - Motor vehicle theft (F),,,,,,202602020138,,Davis,2026-02-02T00:00:00,1945,,3,2026-02-11T00:00:00,True,-121.726119995117,38.5496063232422,500.0,POLE LINE RD,Y,2026-02-23T13:15:01.197,Motor Vehicle Theft,Felony,#752100,red\PinNeedle.svg
4251438,26-00446,12600446,914,2026-02-03T00:00:00,978.5 PC,,,,,,Bench warrant/failure to appear on felony charge (F),,,,,,202602030086,POLE LINE BAPTIST,Davis,2026-02-03T00:00:00,1348,A,3,2026-02-05T00:00:00,True,-121.7267837524414,38.55006408691406,700.0,POLE LINE RD,Y,2026-02-19T15:20:01.473,All Other Offenses,Felony,#752100,red\PinNeedle.svg
4243215,26-00460,12600460,914,2026-02-03T00:00:00,211 PC,647(F) PC,O/W MISD,,,,Robbery (F),Disorderly conduct:alcohol (M),Outside Warrant Misdemeanor,,,,202602030120,N ST PARK,Davis,2026-02-03T00:00:00,1617,A,2,2026-02-03T00:00:00,True,-121.73087310791,38.549560546875,500.0,N ST,Y,2026-02-20T13:20:01.23,Robbery,Felony,#752100,red\PinNeedle.svg
4257860,26-00463,12600463,914,2026-02-03T00:00:00,11364(A) HS,O/W MISD,,,,,Possess unlawful paraphernalia (M),Outside Warrant Misdemeanor,,,,,202602030162,BOY SCOUT CABIN,Davis,2026-02-03T00:00:00,2212,A,2,2026-02-12T00:00:00,True,-121.7406997680664,38.54179763793945,600.0,1ST ST,Y,2026-02-19T15:20:01.473,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4244445,26-00470,12600470,914,2026-02-04T00:00:00,11377(A) HS,1203.2(A) PC,11395(B)(1) HS,,,,Possess controlled substance (M),Probation violation:rearrest/revoke (F),Poss cntl sub w/2 or more priors (F),,,,202602040082,,Davis,2026-02-04T00:00:00,1143,A,2,2026-02-04T00:00:00,True,-121.734664916992,38.5501976013184,,L ST/DUKE DR,Y,2026-02-20T16:30:01.407,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4244705,26-00473,12600473,914,2026-02-04T00:00:00,490.5(A) PC,,,,,,Petty theft:retail merchandise/etc (M),,,,,,202602040150,NUGGET MARKET,Davis,2026-02-04T00:00:00,1858,A,4,2026-02-04T00:00:00,True,-121.742706298828,38.5461502075195,400.0,MACE BL,Y,2026-02-09T16:00:01.76,Larceny/Theft,Misdemeanor,#752100,red\PinNeedle.svg
4251812,26-00475,12600475,914,2026-02-04T00:00:00,490.5(A) PC,,,,,,Petty theft:retail merchandise/etc (M),,,,,,202602040158,NUGGET MARKET,Davis,2026-02-04T00:00:00,2040,A,4,2026-02-10T00:00:00,True,-121.74270629882812,38.54615020751953,400.0,MACE BL,Y,2026-02-11T09:45:02.51,Larceny/Theft,Misdemeanor,#752100,red\PinNeedle.svg
